Years,Runs,Average,Strike Rate
2016,397,44.11,146.49446494464945
2018,659,54.91,158.41346153846155
2019,593,53.9,135.3881278538813
2020,670,55.83,129.34362934362935
2021,626,62.6,138.80266075388028
