Years,Runs,Average,Strike Rate
2016,179,13.76,133.5820895522388
2017,71,11.83,91.02564102564102
2018,555,39.64,154.59610027855152
2019,398,23.41,127.56410256410255
2020,299,29.9,121.05263157894737
