Years,Economy,Strike Rate,Average
2018,7.367088607594937,26.333333333333332,32.333333333333336
2019,6.76,25.0,28.166666666666668
2020,8.4,30.0,42.0
2021,6.355263157894737,25.333333333333332,26.833333333333332
